1	1	2	3	4	5	6	7	8
2	1	9	10	2	5	11	12	6
3	13	9	1	14	15	11	5	16
4	17	14	1	4	18	16	5	8
5	19	20	10	9	21	22	12	11
6	23	19	9	13	24	21	11	15
7	25	23	13	14	26	24	15	16
8	27	25	14	17	28	26	16	18
9	29	27	17	4	30	28	18	8
10	31	29	4	3	32	30	8	7
11	5	6	7	8	33	34	35	36
12	5	11	12	6	33	37	38	34
13	15	11	5	16	39	37	33	40
14	18	16	5	8	41	40	33	36
15	21	22	12	11	42	43	38	37
16	24	21	11	15	44	42	37	39
17	26	24	15	16	45	44	39	40
18	28	26	16	18	46	45	40	41
19	30	28	18	8	47	46	41	36
20	32	30	8	7	48	47	36	35
21	33	34	35	36	49	50	51	52
22	33	37	38	34	49	53	54	50
23	39	37	33	40	55	53	49	56
24	41	40	33	36	57	56	49	52
25	42	43	38	37	58	59	54	53
26	44	42	37	39	60	58	53	55
27	45	44	39	40	61	60	55	56
28	46	45	40	41	62	61	56	57
29	47	46	41	36	63	62	57	52
30	48	47	36	35	64	63	52	51
31	49	50	51	52	65	66	67	68
32	49	53	54	50	65	69	70	66
33	55	53	49	56	71	69	65	72
34	57	56	49	52	73	72	65	68
35	58	59	54	53	74	75	70	69
36	60	58	53	55	76	74	69	71
37	61	60	55	56	77	76	71	72
38	62	61	56	57	78	77	72	73
39	63	62	57	52	79	78	73	68
40	64	63	52	51	80	79	68	67
41	2	81	82	3	6	83	84	7
42	85	81	2	10	86	83	6	12
43	85	87	88	81	86	89	90	83
44	88	91	82	81	90	92	84	83
45	20	93	85	10	22	94	86	12
46	93	95	87	85	94	96	89	86
47	95	97	88	87	96	98	90	89
48	97	99	91	88	98	100	92	90
49	99	101	82	91	100	102	84	92
50	101	31	3	82	102	32	7	84
51	6	83	84	7	34	103	104	35
52	86	83	6	12	105	103	34	38
53	86	89	90	83	105	106	107	103
54	90	92	84	83	107	108	104	103
55	22	94	86	12	43	109	105	38
56	94	96	89	86	109	110	106	105
57	96	98	90	89	110	111	107	106
58	98	100	92	90	111	112	108	107
59	100	102	84	92	112	113	104	108
60	102	32	7	84	113	48	35	104
61	34	103	104	35	50	114	115	51
62	105	103	34	38	116	114	50	54
63	105	106	107	103	116	117	118	114
64	107	108	104	103	118	119	115	114
65	43	109	105	38	59	120	116	54
66	109	110	106	105	120	121	117	116
67	110	111	107	106	121	122	118	117
68	111	112	108	107	122	123	119	118
69	112	113	104	108	123	124	115	119
70	113	48	35	104	124	64	51	115
71	50	114	115	51	66	125	126	67
72	116	114	50	54	127	125	66	70
73	116	117	118	114	127	128	129	125
74	118	119	115	114	129	130	126	125
75	59	120	116	54	75	131	127	70
76	120	121	117	116	131	132	128	127
77	121	122	118	117	132	133	129	128
78	122	123	119	118	133	134	130	129
79	123	124	115	119	134	135	126	130
80	124	64	51	115	135	80	67	126
