1	7.993794	124.4517	162.9744
2	8.956355	121.9815	161.761
3	13.03433	120.8204	162.4458
4	11.59102	123.9101	164.06
5	8.133664	122.4511	166.9166
6	9.202824	119.6158	165.6171
7	14.05817	118.7939	166.2449
8	12.40427	122.3661	167.8373
9	7.069082	126.7603	164.0586
10	9.801321	126.7599	165.4676
11	7.153421	124.9766	168.1655
12	10.64661	125.7105	169.3572
13	6.031929	128.8488	165.1317
14	7.429158	129.2542	166.6009
15	6.173912	127.2022	169.2911
16	8.24696	128.5757	170.6602
17	3.663575	127.9378	164.0464
18	3.276912	130.1553	165.5258
19	0	131.0939	165.9611
20	0	129.003	164.0989
21	3.61929	125.7178	168.0726
22	3.351142	128.2414	169.615
23	0	128.9254	169.9391
24	0	126.4229	168.1135
25	4.090183	125.5969	162.8996
26	0	126.6045	162.8919
27	4.051502	123.2742	166.6584
28	0	124.0184	166.5386
29	4.073685	131.2405	167.6563
30	4.608778	130.6433	171.5751
31	4.580513	123.3234	161.7997
32	0	124.3403	161.9013
33	4.591689	120.8167	165.3888
34	0	121.6913	165.2889
35	0	132.3801	168.6362
36	0	131.339	172.1254
37	7.666534	120.4301	170.6749
38	8.716075	117.582	169.6213
39	13.11318	116.7477	170.213
40	11.59079	120.3472	171.4437
41	6.713026	122.916	171.9192
42	9.84491	123.6533	172.9137
43	5.82322	125.1346	173.0053
44	7.691149	126.5571	174.1301
45	3.426168	123.4839	171.7555
46	3.176071	126.0599	173.2455
47	0	126.5586	173.3722
48	0	123.9169	171.6334
49	3.845218	121.0643	170.2883
50	0	121.5422	169.9874
51	4.416283	128.714	175.0244
52	4.384357	118.6076	169.1786
53	0	119.2347	168.8873
54	0	129.6244	175.4015
55	7.097949	118.2817	174.2202
56	8.081882	115.3096	173.5258
57	11.97	114.4599	174.1166
58	10.51735	118.2433	174.8698
59	6.160264	120.7074	175.4852
60	8.853251	121.4286	176.3062
61	5.331158	122.9509	176.4218
62	6.956373	124.3679	177.3723
63	3.172367	121.1093	175.2447
64	2.921969	123.7892	176.5856
65	0	124.1147	176.523
66	0	121.2692	174.9345
67	3.598813	118.7469	173.73
68	0	118.9696	173.257
69	4.076081	126.5861	178.2194
70	4.1127	116.2598	172.9404
71	0	116.7199	172.6223
72	0	127.5352	178.4404
73	6.421311	116.758	177.7209
74	7.13336	114.098	177.6321
75	10.50728	113.663	178.2868
76	9.43839	116.87	178.3698
77	5.585289	118.6083	179.2216
78	7.930994	119.3111	179.97
79	4.824006	120.8625	179.8673
80	6.262508	122.2596	180.7183
81	2.883708	118.8995	178.9337
82	2.637434	121.6362	179.9595
83	0	121.862	179.7906
84	0	118.9109	178.5523
85	3.269169	117.0548	177.1685
86	0	117.1185	176.6239
87	3.673187	124.4655	181.4313
88	3.64109	114.7384	176.9562
89	0	115.0118	176.5382
90	0	125.3665	181.4991
91	12.91379	110.177	175.3776
92	11.51359	110.3216	179.2468
93	8.5702	111.701	174.5886
94	7.656744	110.9632	178.4854
95	14.45446	109.8516	171.9579
96	13.59721	112.879	171.5254
97	14.65791	113.8047	168.2035
98	15.97905	109.6408	168.3936
99	9.593521000000001	111.3959	171.2836
100	9.105119	114.1777	170.9069
101	9.761684000000001	115.3181	167.7033
102	10.46021	111.9947	167.8179
103	15.50388	114.9399	164.3062
104	10.29544	116.7588	164.0321
105	17.27225	109.6798	164.4534
106	11.08706	112.8601	164.1632
107	16.49448	113.6787	161.3824
108	18.10439	110.0333	160.3043
109	10.7273	115.8413	161.4473
110	11.34718	113.1594	160.7164
111	15.10678	114.9837	159.2429
112	16.14935	112.1143	157.4554
113	10.1689	117.4238	159.0869
114	10.93932	115.4645	157.835
115	14.28881	117.554	160.6883
116	9.959579	119.3664	160.4582
117	4.339455	113.0251	174.027
118	3.869366	111.884	177.8312
119	4.868526	113.0595	170.8289
120	4.644408	115.5106	170.3916
121	4.954138	116.8283	167.3232
122	5.279489	113.9992	167.4981
123	5.209593	118.5317	163.9315
124	5.542188	115.2356	164.0996
125	5.361119	117.8716	161.614
126	5.582703	115.6743	161.0138
127	5.193667	119.4695	159.4648
128	5.556254	117.9669	158.4671
129	5.152052	121.1282	160.6039
130	0	113.62	174.0571
131	0	112.3358	177.7207
132	0	113.8331	170.9574
133	0	116.1685	170.261
134	0	117.6198	167.2144
135	0	114.9337	167.656
136	0	119.545	163.993
137	0	116.3714	164.3058
138	0	118.9585	161.7934
139	0	116.9506	161.2545
140	0	120.5853	159.7609
141	0	119.2731	158.7493
142	0	122.2155	160.7986
143	9.472244	112.9475	182.099
144	8.639932999999999	115.5685	181.4902
145	6.434605	113.077	181.2862
146	5.908079	115.4056	180.7822
147	7.233299	116.8836	183.8447
148	5.123441	116.2978	183.0264
149	8.228211999999999	113.1437	185.4992
150	5.714514	113.0477	184.5146
151	10.45577	110.1216	183.106
152	9.538278	109.7578	186.9354
153	6.968715	110.3007	182.1987
154	6.367498	109.9306	185.7706
155	7.346195	112.5494	189.3947
156	6.208269	115.7451	187.8681
157	5.236308	112.3089	187.9961
158	4.544662	115.1298	186.7424
