"Points:0","Points:1","Points:2"
28.862,10.083,290.14
32.315,9.7785,288.74
30.726,6.1622,285.13
27.439,6.4313,286.45
27.51,10.157,286.61
30.786,9.8471,285.27
29.361,6.2809,282
26.226,6.5621,283.26
26.27,10.213,283.41
29.391,9.8904,282.13
28.114,6.3804,279.15
25.111,6.6794,280.36
25.138,10.258,280.51
28.124,9.9175,279.28
76.83,2.4061,209.41
76.529,7.3694,209.66
76.165,8.0481,206.06
76.443,3.0787,205.79
73.184,2.3216,209.61
72.884,7.1828,209.83
72.545,7.8752,206.32
72.82,3.0009,206.09
69.782,2.1673,209.81
69.492,6.9368,209.99
69.155,7.6433,206.59
69.424,2.8539,206.39
66.606,1.9392,210.02
66.33,6.6263,210.17
65.975,7.3485,206.86
66.237,2.6343,206.71
58.931,79.17,166.41
60.956,74.731,166.26
55.525,77.174,167.04
57.463,73.045,166.9
52.503,75.244,167.58
54.338,71.366,167.48
49.691,72.086,168.08
51.35,68.334,168.01
54.225,62.107,111.47
53.125,65.627,110.78
50.686,60.8,113.31
49.758,64.156,112.73
47.537,59.614,115.04
46.708,62.88,114.6
44.601,58.773,116.46
43.803,61.946,116.16
9.0091,72.177,278.73
13.448,71.29,278.52
8.5317,69.721,275.54
12.722,68.867,275.33
8.109,67.641,272.78
12.087,66.84,272.59
7.7424,65.89,270.42
11.541,65.158,270.25
42.832,76.087,256.26
38.811,79.064,257.13
39.456,81.168,253.61
43.527,78.095,252.78
40.222,73.518,254.2
36.507,76.313,255
37.118,78.331,251.62
40.879,75.458,250.86
38.07,71.443,252.44
34.598,74.074,253.18
35.188,76.027,249.91
38.697,73.325,249.2
36.293,69.784,250.91
33.025,72.271,251.61
33.6,74.167,248.45
36.897,71.62,247.78
36.907,96.324,202.39
37.224,96.987,206.29
31.882,98.446,206.43
35.414,93.234,202.21
35.563,93.563,206.16
30.581,95.151,206.3
33.976,90.24,202.05
34.006,90.393,206.01
29.307,91.969,206.19
32.505,87.006,201.89
32.293,86.79,205.82
27.875,88.469,206.1
69.32,51.9,194.34
69.202,52.552,190.72
65.662,51.004,194.35
65.536,51.69,190.83
62.328,50.214,194.33
62.206,50.938,190.9
59.27,49.469,194.28
59.13,50.128,190.95
18.122,104.16,186.89
19.129,104.94,183.08
17.437,101.2,186.27
18.309,101.87,182.47
16.494,98.452,185.74
17.284,98.997,181.9
15.404,95.962,185.26
16.134,96.221,181.36
35.072,-8.9712,286.06
31.675,-8.8404,287.54
31.858,-5.1588,287.89
35.263,-5.3183,286.39
33.495,-8.5422,282.68
30.264,-8.4013,284.1
30.426,-4.797,284.45
33.665,-4.9662,283.01
32.055,-8.1394,279.6
28.968,-7.9878,280.95
29.112,-4.4599,281.3
32.205,-4.6413,279.93
30.737,-7.7636,276.78
27.777,-7.6011,278.08
27.906,-4.149,278.42
30.871,-4.3445,277.11
48.02,16.221,279.15
48.123,12.527,279.06
45.549,16.031,276.2
45.74,12.424,276.17
43.35,15.8,273.53
43.59,12.275,273.52
41.4,15.534,271.13
41.659,12.088,271.1
57.866,68.717,137.17
58.956,64.479,137.3
54.433,67.28,138.5
55.463,63.248,138.59
51.304,65.929,139.88
52.297,62.073,139.96
48.393,64.746,141.14
49.377,61.069,141.2
23.665,-26.973,286.81
26.975,-26.856,285.78
22.656,-26.068,283.3
25.818,-25.97,282.32
21.713,-25.206,280.1
24.74,-25.119,279.17
20.836,-24.371,277.19
23.742,-24.291,276.29
28.406,-5.0082,289.23
32.005,-1.4529,288.17
27.141,-4.6392,285.73
30.555,-1.1654,284.73
25.972,-4.2927,282.53
29.225,-0.90194,281.59
24.896,-3.971,279.6
28.006,-0.66306,278.72
60.005,-38.464,159.27
61.095,-34.319,159.81
59.645,-32.523,156.83
58.657,-36.615,156.33
56.921,-37.53,160.87
57.971,-33.516,161.34
56.572,-31.762,158.22
55.62,-35.731,157.79
54.072,-36.735,162.59
55.068,-32.839,162.99
53.743,-31.123,159.91
52.845,-34.987,159.57
51.395,-36.103,164.45
52.321,-32.297,164.79
50.945,-30.572,161.89
50.073,-34.339,161.64
76.522,11.103,217.16
76.382,11.725,213.52
72.792,10.779,217.07
72.68,11.415,213.55
69.384,10.41,216.97
69.278,11.059,213.56
66.27,9.9895,216.88
66.144,10.648,213.58
59.534,61.961,236.72
57.932,67.934,234.13
60.027,63.166,233.13
56.272,60.502,235.78
54.643,66.266,233.18
56.746,61.7,232.29
53.28,59.208,234.85
51.695,64.822,232.27
53.729,60.398,231.44
50.522,58.093,233.93
49.029,63.617,231.4
50.942,59.279,230.6
21.265,112.85,106.68
21.462,112.4,102.34
25.046,109.89,102.93
19.599,108.83,108.52
19.656,108.38,104.59
22.998,106.07,105.06
18.284,105.49,110.41
18.316,105.19,106.79
21.445,102.96,107.13
17.15,102.78,112.02
17.19,102.69,108.64
20.11,100.51,108.86
63.273,-49.322,171.5
64.482,-44.924,172.2
63.485,-43.453,168.84
62.425,-47.825,168.08
59.741,-47.877,172.95
61.089,-43.775,173.52
60.175,-42.357,170.26
58.916,-46.439,169.68
56.669,-46.669,174.26
58.007,-42.79,174.77
57.143,-41.417,171.62
55.873,-45.285,171.12
53.941,-45.699,175.45
55.176,-42,175.93
54.334,-40.668,172.9
53.172,-44.372,172.43
72.984,-41.85,221.77
73.277,-41.636,217.92
69.473,-40.76,221.46
69.745,-40.579,217.77
66.212,-39.815,221.16
66.463,-39.664,217.61
63.18,-39.032,220.86
63.411,-38.911,217.46
57.992,-41.145,260.04
59.29,-37.584,260.46
61.336,-38.318,257.49
59.986,-41.979,257.11
55.327,-39.982,257.87
56.503,-36.497,258.23
58.436,-37.21,255.42
57.215,-40.789,255.09
52.865,-38.905,255.79
53.962,-35.504,256.14
55.788,-36.206,253.47
54.654,-39.694,253.16
50.6,-37.922,253.81
51.652,-34.596,254.17
53.382,-35.301,251.64
52.301,-38.708,251.31
69.411,20.892,246.29
71.351,16.858,242.68
65.916,20.268,245.07
67.841,16.322,241.6
62.758,19.652,243.89
64.641,15.774,240.56
59.906,19.033,242.74
61.728,15.205,239.54
22.454,100.37,89.44
25.312,97.614,90.279
21.339,99.346,92.712
24.099,96.655,93.406
20.26,97.78,94.785
22.847,95.068,95.35
19.488,96.787,96.754
21.884,93.982,97.255
70.358,-32.508,244.78
71.239,-28.252,245.02
71.568,-32.783,241.15
66.887,-31.592,243.39
67.734,-27.48,243.66
68.06,-31.88,239.97
63.767,-30.805,242.11
64.583,-26.821,242.39
64.882,-31.105,238.87
60.949,-30.13,240.93
61.748,-26.263,241.23
61.996,-30.446,237.84
4.6791,-91.561,179.9
4.657,-90.386,176.15
0,-90.624,176.32
0,-91.802,180.04
4.4882,-88.118,180.92
4.4673,-86.997,177.35
0,-87.324,177.48
0,-88.429,181.03
4.3091,-84.807,181.92
4.2886,-83.741,178.53
0,-84.044,178.66
0,-85.097,182.03
4.1369,-81.62,182.89
4.1178,-80.606,179.67
0,-80.78,179.84
0,-81.78,183.04
21.282,-8.5544,291.04
17.874,-4.6522,292.28
21.407,-4.7517,291.42
20.35,-8.0938,287.45
17.091,-4.2693,288.66
20.466,-4.3725,287.83
19.479,-7.658,284.17
16.354,-3.9057,285.35
19.586,-4.0131,284.55
18.671,-7.2509,281.17
15.669,-3.5668,282.3
18.77,-3.6778,281.54
31.72,-68.687,262.48
32.509,-70.667,259.47
29.142,-72.185,259.67
28.422,-70.087,262.7
30.335,-66.074,260.16
31.081,-67.951,257.31
27.865,-69.386,257.49
27.197,-67.41,260.37
29.032,-63.7,257.99
29.746,-65.474,255.29
26.669,-66.841,255.46
26.033,-64.974,258.2
27.814,-61.54,255.97
28.503,-63.211,253.41
25.551,-64.521,253.58
24.939,-62.757,256.2
50.16,-63.258,253.23
51.343,-64.463,249.91
47.793,-60.883,251.32
48.937,-62.032,248.19
45.679,-58.757,249.53
46.779,-59.848,246.56
43.806,-56.856,247.88
44.857,-57.884,245.04
66.375,-6.5419,259.51
66.258,-2.3908,259.53
68.183,-2.2846,256.28
68.336,-6.5283,256.26
63.079,-6.437,257.47
62.958,-2.4112,257.53
64.772,-2.3326,254.44
64.926,-6.4446,254.38
60.16,-6.377,255.61
60.029,-2.4671,255.69
61.748,-2.416,252.75
61.909,-6.4077,252.68
57.573,-6.3753,253.92
57.422,-2.5782,254.01
59.059,-2.5562,251.22
59.237,-6.4324,251.13
40.88,-48.316,271.73
41.533,-45.72,272.25
43.774,-46.124,270.65
39.097,-47.067,268.89
39.723,-44.58,269.41
41.84,-44.983,267.87
37.409,-45.828,266.19
38.021,-43.417,266.7
40.039,-43.803,265.23
35.809,-44.653,263.59
36.422,-42.264,264.12
38.368,-42.622,262.72
61.278,58.819,144.66
60.538,59.467,141.1
61.042,54.823,140.94
61.749,54.101,144.5
57.748,57.719,145.9
56.985,58.419,142.32
57.446,54.024,142.11
58.183,53.26,145.68
54.587,56.58,147.24
53.789,57.374,143.63
54.133,53.17,143.41
54.89,52.323,146.99
51.71,55.569,148.49
50.865,56.489,144.82
51,52.452,144.6
51.76,51.49,148.24
30.683,103.56,171.59
28.999,100.06,171.32
27.462,96.919,171
25.877,93.656,170.59
37.714,97.857,210.27
42.86,95.6,210.13
35.806,93.986,210.12
40.529,91.8,209.9
34.093,90.61,209.93
38.606,88.6,209.65
32.105,86.593,209.65
36.661,85.018,209.32
69.877,-3.493,173.24
66.494,-3.3183,174.27
63.257,-3.2047,175.3
60.149,-3.1579,176.3
13.191,-80.385,158.41
12.959,-77.933,155.45
8.8332,-81.201,158.55
12.635,-77.388,160.66
12.437,-75.106,157.74
8.458,-78.194,160.79
12.127,-74.69,162.82
11.959,-72.601,160.08
8.1135,-75.454,162.96
11.666,-72.239,164.95
11.517,-70.286,162.54
7.8022,-72.934,165.09
31.36,90.303,247.41
26.334,92.172,247.62
26.69,94.15,243.8
31.78,92.229,243.61
29.65,86.954,245.58
24.983,88.754,245.81
25.331,90.615,242.1
30.063,88.797,241.9
28.245,84.215,244.03
23.859,85.913,244.27
24.221,87.722,240.68
28.664,86.004,240.47
27.103,81.97,242.72
22.943,83.542,242.95
23.321,85.335,239.51
27.505,83.679,239.29
51.059,73.764,112.47
51.863,69.189,109.97
47.864,71.88,114.35
48.598,67.545,112
44.918,70.246,116.19
45.636,66.141,113.93
42.069,68.952,117.79
42.803,65.082,115.58
15.278,-78.774,256.95
11.491,-79.434,256.98
14.611,-75.649,254.89
10.998,-76.311,254.94
13.986,-72.82,252.99
10.528,-73.455,253.04
13.396,-70.247,251.21
10.085,-70.844,251.27
47.195,72.905,102.21
45.489,70.219,99.757
47.126,66.661,100.82
48.787,69.301,103.2
44.312,71.433,104.81
43.156,69.374,102.47
44.666,65.923,103.46
45.803,67.975,105.73
41.911,70.16,106.98
41.129,68.44,104.47
42.506,65.061,105.42
43.291,66.816,107.85
39.807,69.267,108.73
39.538,67.89,106.15
40.805,64.572,107.09
41.105,66.029,109.59
28.284,105.87,99.402
30.795,100.88,96.265
31.17,102.76,100.08
25.947,102.43,101.87
28.356,98.027,99.078
28.717,99.537,102.44
24.203,99.646,104.1
26.568,95.706,101.38
26.822,96.853,104.58
22.692,97.469,105.91
25.079,93.983,103.17
25.143,94.718,106.32
69.257,6.6962,170.58
68.329,7.6372,167.18
65.887,6.7772,171.62
64.927,7.7408,168.33
62.66,6.8101,172.68
61.723,7.796,169.53
59.564,6.7864,173.74
58.683,7.7976,170.77
67.584,31.709,165.07
66.586,32.286,161.72
66.464,27.494,161.61
67.543,26.927,164.91
64.127,31.645,165.94
63.172,32.294,162.63
63.155,27.649,162.55
64.143,26.942,165.85
60.825,31.537,166.82
59.863,32.111,163.58
59.945,27.585,163.59
60.891,26.919,166.82
57.468,30.979,167.72
56.417,31.435,164.61
56.769,27.359,164.77
57.709,26.715,167.85
36.995,-80.046,238.99
37.705,-81.299,235.3
33.805,-83.285,235.32
35.366,-76.955,237.72
36.021,-78.122,234.16
32.296,-80.005,234.17
33.852,-74.123,236.49
34.474,-75.239,233.06
30.914,-77.034,233.07
32.442,-71.53,235.3
33.045,-72.62,232
29.637,-74.341,232.01
9.0999,-93.46,219.52
9.1798,-93.879,215.5
4.5779,-94.176,215.49
4.5362,-93.749,219.48
8.7461,-89.818,219.02
8.8242,-90.242,215.15
4.411,-90.602,215.14
4.3712,-90.175,218.99
8.414,-86.421,218.53
8.4893,-86.832,214.8
4.2497,-87.179,214.79
4.2115,-86.765,218.5
8.1068,-83.242,218.06
8.1777,-83.627,214.46
4.0954,-83.886,214.44
4.0596,-83.497,218.03
62.348,-56.031,178.18
59.132,-54.332,179.33
56.212,-52.84,180.4
53.55,-51.546,181.38
55.242,85.673,201.47
52.01,82.851,201.12
49.382,80.606,200.84
47.245,78.82,200.6
60.216,-9.0169,152.85
59.615,-13.06,152.51
61.478,-14.447,155.47
57.445,-8.6087,152.78
56.866,-12.599,152.45
58.464,-14.023,156.38
54.349,-8.1609,152.81
53.783,-12.092,152.49
55.528,-13.654,157.67
50.316,-7.6084,152.97
49.745,-11.454,152.65
52.047,-13.234,159.24
63.439,27.633,256.59
64.501,23.355,256.41
60.139,26.918,254.98
61.175,22.731,254.78
57.171,26.237,253.41
58.188,22.123,253.21
54.499,25.577,251.9
55.504,21.521,251.7
4.3007,-90.266,235.11
0,-90.319,234.96
0,-88.934,238.71
4.1452,-86.824,234.02
0,-87.006,233.91
0,-85.72,237.54
3.9908,-83.542,232.96
0,-83.739,232.86
0,-82.521,236.36
3.8421,-80.413,231.94
0,-80.514,231.82
0,-79.35,235.18
68.211,20.261,249.68
66.868,19.644,253.02
64.765,19.665,248.32
63.481,19.082,251.51
61.655,19.075,247.01
60.427,18.52,250.07
58.848,18.477,245.74
57.672,17.949,248.68
28.26,107.02,103.53
31.227,103.98,104.1
26.05,103.43,105.56
28.885,100.59,106.06
24.302,100.42,107.52
26.971,97.689,107.96
22.729,97.97,109.17
25.211,95.294,109.56
19.507,109.6,156.51
18.503,110.37,152.11
23.158,107.91,156.17
17.879,106.37,156.59
17.372,106.93,152.47
21.696,104.61,156.55
16.765,102.86,157.03
16.428,103.26,153.13
20.512,101.26,157.22
15.871,99.03,157.51
15.564,99.49,153.79
19.473,97.848,157.88
4.9329,85.277,266.3
0,85.578,266.03
0,88.063,262.37
4.6993,82.16,263.82
0,82.597,263.68
0,84.983,260.21
4.4945,79.454,261.63
0,79.875,261.49
0,82.165,258.19
4.3208,77.111,259.71
0,77.395,259.48
0,79.587,256.33
3.6786,7.6394,295.19
3.5121,7.8272,291.53
3.3519,7.9992,288.11
3.2004,8.165,284.92
29.746,98.149,93.096
27.927,94.653,91.15
27.678,96.067,96.211
26.647,93.776,94.136
26.124,94.232,98.431
25.271,92.228,95.953
24.955,93.018,100.16
24.194,91.15,97.732
16.122,-48.779,281.16
12.941,-49.231,281.52
12.953,-45.587,282.74
16.118,-45.164,282.33
15.476,-47.387,277.84
12.43,-47.822,278.2
12.445,-44.304,279.46
15.486,-43.903,279.06
14.832,-46.074,274.74
11.916,-46.497,275.1
11.935,-43.083,276.34
14.85,-42.696,275.96
14.193,-44.886,271.85
11.404,-45.3,272.19
11.428,-41.951,273.39
14.215,-41.569,273.03
75.637,-15.617,200.93
75.074,-14.836,197.32
74.721,-19.589,196.93
72.088,-15.325,201.4
71.532,-14.558,197.88
71.173,-19.211,197.51
68.73,-15.117,201.87
68.185,-14.362,198.44
67.826,-18.922,198.08
65.561,-14.998,202.36
65.012,-14.252,199
64.666,-18.726,198.65
38.413,-52.894,271.66
36.657,-51.406,268.69
35.025,-49.967,265.93
33.486,-48.673,263.33
13.943,-93.742,207.44
14.013,-93.786,203.41
9.3499,-94.397,203.44
9.3014,-94.319,207.46
13.389,-90.116,207.38
13.451,-90.148,203.49
8.9803,-90.743,203.51
8.939,-90.69,207.39
12.869,-86.726,207.3
12.923,-86.752,203.55
8.6331,-87.316,203.57
8.597,-87.272,207.31
12.383,-83.55,207.22
12.43,-83.576,203.59
8.3058,-84.09,203.61
8.2751,-84.047,207.22
69.523,-19.318,252.5
69.913,-15.076,252.69
71.527,-15.166,249.23
71.138,-19.487,249.04
66.073,-18.812,250.76
66.431,-14.719,250.95
67.957,-14.818,247.68
67.605,-18.991,247.49
63.014,-18.394,249.17
63.35,-14.436,249.38
64.795,-14.549,246.28
64.463,-18.585,246.07
60.293,-18.054,247.73
60.621,-14.227,247.96
61.988,-14.359,245.01
61.666,-18.262,244.79
59.079,49.51,126.9
55.284,49.099,128.18
51.769,48.462,129.58
48.407,47.976,130.8
4.8343,82.457,269.72
0,82.825,269.49
4.6002,79.505,267.07
0,79.978,266.95
4.3933,76.932,264.72
0,77.382,264.61
4.2154,74.704,262.67
0,75.021,262.46
67.787,45.742,168.94
68.214,45.177,172.46
64.174,45.307,169.57
64.699,44.741,173
60.644,44.784,170.18
61.226,44.227,173.55
56.359,42.984,170.85
57.107,42.603,174.16
12.008,52.69,288.91
11.8,48.68,290.28
7.9257,49.359,290.68
8.0564,53.397,289.25
11.356,51.244,285.21
11.167,47.434,286.56
7.4987,48.091,286.95
7.6239,51.933,285.56
10.766,50.011,282.01
10.588,46.36,283.32
7.1068,46.985,283.68
7.2267,50.667,282.34
10.23,48.977,279.24
10.056,45.451,280.49
6.7441,46.038,280.82
6.8621,49.589,279.54
69.602,-54.024,205.27
71.386,-49.576,205.62
71.214,-48.979,201.76
65.936,-52.352,205.55
67.58,-48.163,205.91
67.39,-47.613,202.19
62.737,-50.933,205.78
64.27,-46.967,206.16
64.073,-46.463,202.57
59.924,-49.748,205.97
61.359,-45.992,206.37
61.158,-45.532,202.91
38.994,12.952,285.42
38.992,16.658,285.43
37.09,12.917,282.13
37.038,16.533,282.12
35.368,12.846,279.16
35.282,16.375,279.14
33.817,12.747,276.47
33.711,16.193,276.47
46.902,88.818,129.15
47.652,88.588,132.91
45.056,92.084,132.78
44.364,92.298,128.97
43.938,86.391,130.31
44.684,86.171,134.07
42.235,89.477,133.88
41.546,89.688,130.08
41.212,84.184,131.49
41.977,83.976,135.25
39.671,87.116,134.99
38.96,87.312,131.19
38.646,82.227,132.53
39.454,82.026,136.3
37.287,85.017,135.98
36.529,85.202,132.18
6.5362,-57.515,279.39
3.2735,-57.854,279.32
3.2562,-54.107,280.76
6.5016,-53.775,280.79
6.2836,-55.611,275.86
3.1511,-56.002,275.92
3.1382,-52.518,277.4
6.2558,-52.145,277.34
6.018,-53.9,272.75
3.0204,-54.282,272.82
3.0099,-51,274.29
5.9955,-50.635,274.21
5.7381,-52.405,269.99
2.8832,-52.726,269.99
2.8751,-49.601,271.38
5.7247,-49.286,271.35
9.2517,118.77,122.14
13.598,117.26,122.52
8.3655,113.84,123.38
12.388,112.49,123.73
7.6958,109.33,124.78
11.415,108.13,125
7.1429,104.68,126.34
10.581,104.02,126.2
7.8315,-81.974,253.54
7.9975,-83.905,250.04
3.9887,-84.182,249.9
3.9085,-82.281,253.41
7.5139,-78.777,251.67
7.6784,-80.603,248.32
3.8398,-80.96,248.23
3.7586,-79.153,251.6
7.1995,-75.812,249.92
7.3624,-77.552,246.7
3.6859,-77.903,246.62
3.6043,-76.173,249.86
6.8998,-73.058,248.27
7.063,-74.721,245.18
3.5337,-74.993,245.08
3.4513,-73.341,248.19
45.91,61.013,266.66
42.853,64.083,267.86
43.884,66.419,264.93
47.033,63.192,263.76
43.136,59.207,264.28
40.248,62.077,265.33
41.191,64.307,262.55
44.137,61.279,261.51
40.783,57.731,262.18
38.066,60.458,263.14
38.949,62.603,260.48
41.715,59.728,259.53
38.792,56.563,260.32
36.236,59.178,261.23
37.084,61.256,258.68
39.684,58.5,257.78
10.712,-8.4492,293.21
7.1628,-8.4475,293.65
7.1941,-4.4825,293.97
10.764,-4.5173,293.55
10.236,-7.9714,289.51
6.8411,-7.9672,289.92
6.8766,-4.0957,290.3
10.292,-4.1301,289.89
9.7915,-7.5217,286.13
6.5418,-7.5133,286.52
6.5758,-3.7236,286.92
9.8447,-3.7603,286.52
9.3782,-7.1091,283.05
6.2625,-7.0962,283.41
6.2929,-3.3785,283.79
9.4257,-3.4179,283.43
42.135,-54.646,268.72
43.481,-56.165,266.96
40.123,-52.93,265.79
41.375,-54.267,264.11
38.322,-51.366,263.13
39.5,-52.585,261.54
36.679,-49.992,260.66
37.825,-51.134,259.17
57.368,-49.298,256.88
54.595,-47.773,254.75
52.116,-46.406,252.77
49.902,-45.23,250.91
55.538,54.191,111.14
54.737,57.196,109.96
54.007,54.969,107.77
54.928,51.819,109.32
51.807,53.454,112.91
51.09,56.273,111.86
50.549,54.392,109.9
51.367,51.428,111.28
48.456,52.452,114.45
47.851,55.22,113.5
47.398,53.419,111.48
48.063,50.498,112.75
45.322,51.769,115.7
44.893,54.514,114.82
44.646,52.848,112.81
45.108,49.939,113.99
43.265,96.9,171.24
40.919,93.651,171.3
38.854,90.684,171.28
36.842,87.097,171.14
51.096,90.975,174.66
50.77,90.876,170.8
54.11,87.331,170.57
54.54,87.393,174.4
48.211,88.011,174.79
47.914,88.007,171.07
50.993,84.7,170.91
51.375,84.689,174.61
45.721,85.397,174.87
45.431,85.428,171.24
48.278,82.322,171.16
48.642,82.295,174.77
43.423,82.125,174.94
43.21,82.108,171.35
45.808,79.054,171.36
46.08,79.113,174.93
9.7932,-57.075,279.28
9.7339,-53.353,280.61
9.4062,-55.177,275.73
9.3572,-51.732,277.17
9.0054,-53.485,272.62
8.9668,-50.243,274.06
8.5885,-52.024,269.89
8.566,-48.926,271.23
56.811,37.738,122.13
57.948,42.122,122.74
53.67,38.988,123.52
54.316,42.563,124.1
50.359,38.874,124.63
50.835,42.163,125.36
47.632,39.127,125.62
47.706,41.982,126.44
50.252,-41.86,267.43
52.467,-42.763,265.03
48.011,-40.747,264.86
50.117,-41.595,262.6
45.926,-39.656,262.42
47.925,-40.479,260.26
44.01,-38.599,260.09
45.904,-39.435,258.03
58.371,69.154,230.47
60.431,64.306,229.5
55.075,67.479,229.61
57.147,62.839,228.74
52.107,66.024,228.78
54.115,61.534,227.98
49.416,64.813,227.99
51.297,60.409,227.21
70.492,-9.1435,176.28
70.767,-4.5282,176.67
67.104,-8.9043,177.25
67.369,-4.359,177.61
63.855,-8.7324,178.22
64.11,-4.2534,178.55
60.734,-8.6317,179.16
60.974,-4.2166,179.46
68.163,-21.555,171.54
68.731,-17.084,171.99
67.808,-15.854,168.56
67.26,-20.276,168.1
64.793,-21.082,172.7
65.37,-16.697,173.12
64.425,-15.469,169.81
63.852,-19.805,169.4
61.602,-20.691,173.85
62.171,-16.384,174.24
61.247,-15.16,171.05
60.679,-19.42,170.67
58.567,-20.385,174.97
59.119,-16.149,175.33
58.251,-14.932,172.26
57.701,-19.124,171.92
57.594,62.098,127.08
56.815,62.628,123.74
53.97,60.953,128.43
53.234,61.413,125.15
50.682,59.884,129.88
49.971,60.293,126.67
47.61,59.021,131.14
46.903,59.406,127.99
54.337,-73.293,223.98
51.415,-76.767,219.92
50.88,-76.345,223.88
51.736,-70.5,223.36
48.958,-73.801,219.43
48.471,-73.391,223.23
49.395,-68.015,222.75
46.749,-71.166,218.95
46.3,-70.761,222.6
47.278,-65.795,222.15
44.752,-68.817,218.48
44.336,-68.411,221.99
44.682,-43.147,271.1
42.713,-42.14,268.35
40.886,-41.033,265.72
39.209,-39.849,263.23
32.237,94.903,93.884
30.295,91.493,91.972
30.095,92.98,96.906
28.985,90.72,94.856
28.439,91.22,99.042
27.527,89.253,96.586
27.163,90.032,100.71
26.399,88.24,98.241
61.391,-30.17,261.23
58.459,-29.29,258.97
55.821,-28.494,256.89
53.452,-27.765,254.96
48.676,30.569,276.28
50.811,30.975,273.97
51.648,27.507,274.03
46.076,29.967,273.61
48.089,30.341,271.44
48.874,26.957,271.46
43.732,29.385,271.13
45.639,29.731,269.09
46.403,26.416,269.09
41.63,28.809,268.85
43.447,29.135,266.91
44.21,25.877,266.92
67.719,-19.105,255.86
68.109,-14.946,256.05
64.366,-18.591,253.93
64.726,-14.578,254.13
61.396,-18.16,252.18
61.735,-14.281,252.39
58.759,-17.802,250.59
59.086,-14.052,250.82
4.1279,57.951,287.66
0,58.415,287.65
0,62.304,285.72
3.9141,56.321,284.15
0,56.818,284.22
0,60.519,282.38
3.712,54.864,280.99
0,55.336,281.04
0,58.87,279.29
3.5231,53.585,278.18
0,53.984,278.11
0,57.368,276.44
25.246,6.5455,291.15
24.104,6.7003,287.62
23.041,6.8409,284.38
22.06,6.9732,281.42
64.982,-17.513,161.41
63.364,-16.004,158.32
61.547,-17.053,162.9
60.081,-15.565,159.67
58.45,-16.692,164.44
57.088,-15.227,161.27
55.591,-16.419,166.09
54.143,-14.941,163.13
48.387,88.323,136.68
45.737,91.833,136.59
45.449,85.896,137.87
42.946,89.215,137.71
42.793,83.688,139.08
40.432,86.844,138.87
40.333,81.719,140.17
38.114,84.731,139.9
13.432,-31.116,287.83
13.588,-27.434,288.93
12.881,-30.093,284.31
13.024,-26.487,285.35
12.353,-29.131,281.06
12.488,-25.598,282.07
11.852,-28.213,278.06
11.984,-24.752,279.07
50.515,47.353,268.6
52.254,43.996,267.73
47.632,46.193,266.33
49.324,42.956,265.55
45.079,45.188,264.21
46.707,42.036,263.5
42.816,44.351,262.25
44.372,41.246,261.56
64.244,52.247,155.14
65.179,52.082,158.57
64.456,56.826,158.64
63.666,57.046,155.21
60.621,51.257,156.37
61.554,51.247,159.63
60.924,55.785,159.71
60.082,55.796,156.5
57.192,50.019,157.81
58.063,50.199,160.77
57.544,54.534,160.85
56.777,54.302,158
53.609,48.377,159.24
54.098,48.246,161.9
53.83,52.352,161.93
53.418,52.388,159.44
66.801,37.114,161.8
67.676,36.54,165.19
67.671,41.412,165.31
63.212,36.967,162.71
64.086,36.371,166.02
63.947,41.113,166.1
59.743,36.651,163.6
60.632,36.134,166.84
60.381,40.724,166.86
55.825,35.481,164.57
56.754,35.056,167.72
56.15,39.184,167.68
51.587,84.373,140.5
50.805,84.662,136.77
52.975,80.857,136.86
53.791,80.529,140.56
48.56,82.093,141.8
47.731,82.424,138.01
49.78,78.813,138.15
50.637,78.442,141.89
45.846,79.998,143.14
44.943,80.382,139.28
46.877,76.94,139.46
47.803,76.511,143.27
43.347,78.113,144.37
42.354,78.561,140.43
44.174,75.271,140.66
45.186,74.772,144.55
26.823,-89.415,223.64
27.103,-89.981,219.62
22.664,-91.211,219.6
25.662,-85.83,222.96
25.941,-86.392,219.1
21.714,-87.585,219.08
24.603,-82.595,222.31
24.876,-83.139,218.6
20.84,-84.279,218.59
23.638,-79.664,221.69
23.906,-80.177,218.12
20.041,-81.248,218.11
58.005,34.019,133.03
58.533,32.872,136.67
59.659,37.482,136.98
59.16,38.569,133.37
55.183,35.45,134.09
55.772,34.325,137.69
56.39,38.215,138.01
55.818,39.274,134.44
52.177,35.564,134.88
52.811,34.475,138.4
53.193,38.092,138.94
52.561,39.125,135.43
49.698,36.007,135.68
50.358,34.929,139.14
50.322,38.149,139.82
49.658,39.173,136.35
49.329,-68.307,246.31
46.969,-72.005,242.67
46.033,-70.807,246.18
47.081,-65.7,244.78
44.875,-69.26,241.3
43.984,-68.107,244.67
45.035,-63.339,243.31
42.942,-66.75,239.96
42.094,-65.636,243.2
43.182,-61.184,241.92
41.167,-64.448,238.68
40.357,-63.359,241.79
46.2,89.019,125.38
45.495,89.109,121.62
43.241,86.547,126.59
42.581,86.592,122.91
40.509,84.301,127.81
39.873,84.303,124.2
37.915,82.32,128.89
37.275,82.299,125.35
68.078,49.61,176.17
67.46,54.632,176.38
64.614,49.034,176.61
63.898,53.885,176.78
61.213,48.395,177.03
60.487,53.1,177.15
57.306,46.702,177.51
56.659,51.188,177.57
68.375,31.083,168.48
68.475,26.271,168.28
64.937,30.976,169.28
65.026,26.224,169.16
61.662,30.881,170.07
61.753,26.183,170.04
